row_id,column,value,error_type,violated_rule,reason,suggested_fix,confidence
13,ProviderNumber,1xx19,FI,regex,All values are exactly 5 digits,,
45,ProviderNumber,x0005,FI,regex,All values are exactly 5 digits,,
81,ProviderNumber,1000x,FI,regex,All values are exactly 5 digits,,
213,ProviderNumber,x00xx,FI,regex,All values are exactly 5 digits,,
244,ProviderNumber,x00x5,FI,regex,All values are exactly 5 digits,,
253,ProviderNumber,1xx15,FI,regex,All values are exactly 5 digits,,
273,ProviderNumber,1xx16,FI,regex,All values are exactly 5 digits,,
314,ProviderNumber,100x8,FI,regex,All values are exactly 5 digits,,
360,ProviderNumber,100x6,FI,regex,All values are exactly 5 digits,,
408,ProviderNumber,x0x08,FI,regex,All values are exactly 5 digits,,
559,ProviderNumber,1xx24,FI,regex,All values are exactly 5 digits,,
608,ProviderNumber,x0027,FI,regex,All values are exactly 5 digits,,
627,ProviderNumber,x0029,FI,regex,All values are exactly 5 digits,,
639,ProviderNumber,1xx29,FI,regex,All values are exactly 5 digits,,
645,ProviderNumber,1xx32,FI,regex,All values are exactly 5 digits,,
655,ProviderNumber,1xx32,FI,regex,All values are exactly 5 digits,,
704,ProviderNumber,100x4,FI,regex,All values are exactly 5 digits,,
721,ProviderNumber,100x5,FI,regex,All values are exactly 5 digits,,
724,ProviderNumber,1xx35,FI,regex,All values are exactly 5 digits,,
755,ProviderNumber,1xx36,FI,regex,All values are exactly 5 digits,,
780,ProviderNumber,1003x,FI,regex,All values are exactly 5 digits,,
789,ProviderNumber,1xx39,FI,regex,All values are exactly 5 digits,,
793,ProviderNumber,100x9,FI,regex,All values are exactly 5 digits,,
859,ProviderNumber,1xx44,FI,regex,All values are exactly 5 digits,,
878,ProviderNumber,1xx45,FI,regex,All values are exactly 5 digits,,
888,ProviderNumber,x0045,FI,regex,All values are exactly 5 digits,,
933,ProviderNumber,1xx47,FI,regex,All values are exactly 5 digits,,
955,ProviderNumber,1004x,FI,regex,All values are exactly 5 digits,,
44,ZipCode,x5957,FI,regex,All sample values are 5-digit numbers,,
63,ZipCode,3595x,FI,regex,All sample values are 5-digit numbers,,
70,ZipCode,3563x,FI,regex,All sample values are 5-digit numbers,,
93,ZipCode,3563x,FI,regex,All sample values are 5-digit numbers,,
137,ZipCode,36x49,FI,regex,All sample values are 5-digit numbers,,
139,ZipCode,360x9,FI,regex,All sample values are 5-digit numbers,,
149,ZipCode,3x640,FI,regex,All sample values are 5-digit numbers,,
157,ZipCode,3x640,FI,regex,All sample values are 5-digit numbers,,
196,ZipCode,3x23x,FI,regex,All sample values are 5-digit numbers,,
232,ZipCode,359x8,FI,regex,All sample values are 5-digit numbers,,
267,ZipCode,x6784,FI,regex,All sample values are 5-digit numbers,,
283,ZipCode,3x007,FI,regex,All sample values are 5-digit numbers,,
290,ZipCode,x5007,FI,regex,All sample values are 5-digit numbers,,
325,ZipCode,36x01,FI,regex,All sample values are 5-digit numbers,,
332,ZipCode,3x305,FI,regex,All sample values are 5-digit numbers,,
340,ZipCode,x6x05,FI,regex,All sample values are 5-digit numbers,,
366,ZipCode,3xx94,FI,regex,All sample values are 5-digit numbers,,
375,ZipCode,3xx94,FI,regex,All sample values are 5-digit numbers,,
